weather_severity,rain_intensity,visibility,wind_severity,night_indicator,road_disruption,historical_incident_density,distance_to_emergency_service,nearby_service_density,tourist_area_indicator,area_activity_level,route_condition,time_of_day,risk_score
24.4,0.0,10.19,14.24,0.0,6.14,0.412,2.88,8.73,1.0,9.13,91.93,4.0,9.8
28.41,3.36,5.56,9.8,0.0,2.11,0.524,5.06,2.46,1.0,6.62,83.47,8.0,26.6
39.03,0.0,7.83,21.29,0.0,1.42,1.056,1.98,5.12,0.0,4.92,59.86,4.0,24.0
29.86,0.0,2.28,12.01,0.0,12.79,1.305,3.49,1.64,1.0,5.37,72.47,2.0,42.9
41.84,3.5,8.81,36.54,0.0,13.34,0.904,5.86,0.92,1.0,6.83,73.05,8.0,29.1
49.96,9.61,4.78,17.38,0.0,12.44,0.833,7.02,4.5,0.0,5.66,46.96,8.0,39.8
30.4,0.0,6.58,10.03,0.0,3.03,1.253,6.39,6.1,0.0,4.3,66.35,4.0,25.2
15.09,0.0,8.3,8.55,0.0,3.57,0.429,1.9,4.76,0.0,2.17,96.68,8.0,10.5
32.94,0.0,9.25,11.84,1.0,6.02,3.465,6.57,9.12,0.0,6.65,48.93,2.0,50.6
52.37,10.34,10.97,13.61,0.0,8.18,0.873,4.55,2.33,0.0,5.94,74.52,4.0,41.8
16.13,7.72,4.48,32.17,0.0,39.89,3.459,11.21,4.99,1.0,6.44,64.46,2.0,50.8
32.75,0.0,6.32,21.91,0.0,17.8,0.487,13.9,3.4,1.0,9.83,51.1,2.0,22.3
48.76,7.49,7.1,22.47,0.0,0.54,1.74,13.34,4.05,0.0,4.51,82.91,4.0,35.6
21.62,0.0,6.9,12.35,0.0,9.66,0.741,4.81,3.58,1.0,7.4,58.72,4.0,27.3
29.18,0.0,9.8,10.01,0.0,18.98,0.766,4.77,4.08,1.0,2.57,88.9,8.0,17.4
22.82,0.0,7.98,6.75,0.0,19.73,1.656,8.6,4.67,0.0,3.37,100.0,4.0,20.7
15.63,0.0,10.3,11.95,0.0,6.49,0.802,2.7,2.2,0.0,5.82,70.08,4.0,13.2
14.56,0.0,8.07,12.57,1.0,12.61,1.598,7.55,7.27,1.0,6.44,100.0,2.0,37.3
32.81,2.56,8.8,14.69,0.0,16.09,1.918,6.36,7.67,0.0,6.18,69.81,8.0,32.8
31.33,0.0,6.15,46.99,0.0,4.55,2.872,13.82,5.28,0.0,0.67,30.42,4.0,37.6
32.89,0.0,11.89,8.71,0.0,40.92,0.76,5.72,4.58,0.0,6.27,58.47,4.0,28.1
16.36,6.83,4.29,11.49,1.0,19.39,0.693,7.26,4.39,1.0,6.69,66.04,2.0,40.5
41.31,15.78,4.45,10.86,0.0,17.88,1.048,11.8,7.1,1.0,9.76,98.99,2.0,26.6
11.29,0.0,5.82,8.97,0.0,34.6,1.895,5.79,2.77,0.0,4.76,66.81,8.0,34.7
36.48,2.91,9.16,14.65,0.0,12.17,1.275,3.33,6.21,0.0,6.21,28.88,8.0,22.7
29.89,13.22,7.6,8.89,0.0,12.46,0.785,8.68,4.18,1.0,8.17,75.91,2.0,21.1
9.62,0.0,6.27,5.61,0.0,4.65,0.238,2.39,4.01,0.0,6.9,71.14,2.0,12.6
39.6,0.0,9.81,16.37,0.0,16.19,0.88,6.88,4.71,0.0,5.65,64.31,4.0,21.3
25.35,0.0,6.84,13.26,0.0,15.39,0.458,3.52,5.34,0.0,5.04,67.6,8.0,11.8
62.82,5.78,7.2,20.02,1.0,8.61,2.299,1.29,1.84,0.0,4.62,89.45,2.0,47.5
22.66,0.0,9.56,28.96,0.0,17.14,0.938,8.27,2.89,0.0,7.14,70.3,8.0,23.4
56.06,0.0,6.83,32.33,0.0,4.9,0.95,6.46,3.61,1.0,6.39,72.73,2.0,33.6
16.41,0.0,10.33,6.33,1.0,16.95,0.213,14.68,5.59,0.0,3.87,58.44,2.0,35.4
6.89,0.0,8.51,3.87,0.0,90.03,0.112,1.57,0.96,0.0,6.51,33.75,4.0,31.3
50.79,3.51,7.73,16.32,0.0,0.91,0.932,3.0,7.02,1.0,9.28,73.27,8.0,22.1
4.63,7.7,7.39,11.76,0.0,7.1,0.686,12.95,8.38,0.0,8.13,58.83,2.0,18.8
11.89,0.0,4.91,8.61,0.0,13.74,1.613,14.1,3.2,1.0,10.0,70.62,4.0,34.9
43.58,0.0,7.45,20.32,0.0,58.8,0.586,9.58,5.01,0.0,5.38,24.86,4.0,34.2
24.39,0.0,6.52,24.92,1.0,7.37,0.604,5.39,7.18,0.0,6.31,70.82,2.0,30.4
27.69,0.0,10.95,10.06,0.0,4.57,2.951,11.33,4.8,0.0,9.25,68.29,8.0,27.3
47.98,11.17,3.49,12.8,0.0,3.48,2.416,4.53,4.34,0.0,7.08,70.61,2.0,35.3
42.32,0.0,10.18,22.9,1.0,69.56,0.9,0.38,6.96,0.0,8.26,63.77,2.0,45.5
20.31,6.58,7.24,8.17,0.0,68.26,0.65,13.77,7.73,0.0,6.96,68.4,8.0,33.8
5.29,0.0,9.65,12.96,0.0,8.1,1.263,4.27,3.76,0.0,3.48,78.84,4.0,15.4
15.79,0.0,5.77,14.1,1.0,3.37,1.135,25.31,3.66,1.0,6.55,66.1,2.0,46.6
17.39,0.0,7.86,24.83,0.0,7.51,0.458,2.11,6.02,1.0,3.82,85.8,8.0,12.9
45.52,2.06,6.06,22.35,1.0,60.26,1.199,13.35,3.6,0.0,4.57,59.52,2.0,50.6
56.41,0.0,11.51,22.63,0.0,10.01,1.089,6.96,2.75,0.0,3.87,44.18,8.0,32.8
8.92,0.0,7.35,10.29,0.0,14.14,0.376,12.07,3.68,1.0,5.69,80.54,2.0,18.8
23.4,0.0,10.6,37.68,0.0,50.3,0.718,3.27,2.77,1.0,6.57,58.91,4.0,27.6
54.5,0.0,9.7,23.14,0.0,18.49,1.218,22.62,2.14,1.0,5.31,60.56,4.0,29.7
20.93,0.0,10.65,11.45,1.0,17.61,0.418,19.55,8.52,0.0,2.64,93.94,2.0,32.3
39.96,3.98,6.14,14.8,0.0,18.16,1.768,4.37,2.12,0.0,7.04,63.32,2.0,31.5
37.34,0.0,11.49,21.63,0.0,12.22,1.206,4.75,5.1,0.0,3.81,73.41,4.0,27.2
36.19,0.0,11.94,37.36,0.0,61.97,0.834,7.24,0.88,1.0,6.48,79.47,4.0,37.6
21.6,0.0,9.09,19.74,0.0,15.87,1.781,2.78,8.47,0.0,7.47,58.13,4.0,20.7
12.51,0.0,7.69,27.86,0.0,19.83,1.954,3.2,5.12,0.0,3.49,80.34,4.0,19.6
26.73,0.0,6.48,21.89,0.0,17.61,1.938,12.42,8.31,0.0,6.54,70.46,2.0,27.5
39.26,16.37,6.8,11.41,0.0,10.76,0.711,0.39,3.24,0.0,2.48,91.92,2.0,11.8
5.13,0.0,8.98,42.69,0.0,0.05,0.228,2.87,10.0,0.0,5.26,59.87,8.0,16.0
68.17,8.6,6.29,27.39,0.0,19.87,2.019,17.08,2.42,0.0,6.29,55.56,2.0,47.7
2.42,0.0,6.23,32.77,0.0,64.01,0.36,15.34,6.22,0.0,3.82,65.61,4.0,28.5
4.15,0.0,8.94,25.66,0.0,72.33,0.25,5.51,0.0,1.0,9.08,41.64,2.0,25.7
11.52,16.85,8.92,4.17,0.0,8.44,0.599,1.07,3.99,1.0,8.05,91.25,4.0,23.8
19.46,0.0,10.05,13.14,0.0,63.74,1.172,14.57,4.85,0.0,5.71,55.37,8.0,31.0
